price,maintenance,doors,seats,storage,safety,shouldBuy
high,low,3,2,small,med,acc
low,high,5more,2,med,high,unacc
high,low,2,more,med,low,unacc
vhigh,low,4,more,small,med,acc
low,vhigh,NaN,more,big,high,unacc
high,vhigh,3,more,med,high,unacc
high,med,3,more,med,med,unacc
med,high,3,4,small,med,null
med,med,2,more,med,low,
low,vhigh,3,more,big,high,null
med,high,2,4,med,med,acc
vhigh,med,5more,4,big,low,unacc
high,low,3,more,small,low,acc
high,med,2,4,med,med,unacc
high,high,5more,more,big,med,unacc
low,low,4,4,big,low,unacc
low,vhigh,2,more,,high,unacc
med,low,,2,big,high,unacc
high,high,2,4,big,low,acc
,low,null,4,,,acc
high,med,2,2,med,med,unacc
high,med,4,2,big,high,unacc
high,low,2,more,small,low,unacc
vhigh,high,2,2,big,low,unacc
high,high,3,more,med,med,unacc
vhigh,high,4,4,big,high,unacc
high,high,3,more,big,med,unacc
low,med,4,2,med,low,unacc
low,high,4,4,med,low,unacc
vhigh,high,NaN,more,big,low,unacc
high,low,4,2,med,med,acc
low,low,4,more,small,low,unacc
low,med,4,4,med,low,unacc
high,med,3,2,big,high,vgood
high,med,4,more,med,med,unacc
low,high,4,more,small,med,NaN
high,low,4,4,med,high,acc
med,low,2,4,big,low,acc
high,high,3,4,med,med,acc
low,vhigh,,4,big,low,acc
low,high,3,4,big,med,unacc
vhigh,vhigh,2,4,med,high,unacc
med,high,5more,2,big,med,unacc
low,med,3,more,small,high,unacc
med,vhigh,null,2,big,med,acc
high,vhigh,3,more,big,high,unacc
low,med,4,2,med,med,acc
vhigh,vhigh,4,2,big,med,unacc
low,low,2,,big,low,unacc
vhigh,high,2,4,big,high,unacc
med,vhigh,3,4,small,low,unacc
vhigh,med,4,more,big,high,unacc
high,high,2,more,big,high,unacc
high,vhigh,5more,2,small,low,good
high,high,5more,4,small,low,unacc
low,vhigh,3,more,big,low,good
high,low,4,2,big,low,good
high,med,5more,4,big,high,unacc
low,low,,more,,high,unacc
med,low,4,2,small,med,vgood
high,vhigh,4,4,med,med,unacc
high,low,2,4,small,low,unacc
low,med,3,4,med,high,unacc
med,high,4,4,small,high,unacc
med,high,3,2,small,high,unacc
med,high,3,more,big,low,unacc
low,vhigh,5more,more,big,low,unacc
vhigh,med,3,2,big,med,acc
vhigh,vhigh,3,,med,low,unacc
high,low,3,more,small,high,unacc
high,med,5more,more,big,high,unacc
high,low,4,4,small,high,unacc
vhigh,med,,4,med,low,unacc
low,high,4,more,small,high,unacc
high,med,5more,4,big,low,unacc
low,vhigh,5more,more,small,med,unacc
high,high,4,2,small,high,unacc
low,med,2,2,small,high,acc
low,vhigh,2,2,big,high,unacc
vhigh,vhigh,2,more,small,high,
low,low,4,4,med,high,
med,high,5more,4,big,null,acc
vhigh,med,5more,more,small,low,unacc
high,med,2,4,big,med,unacc
vhigh,high,2,4,med,high,unacc
med,,3,4,big,low,unacc
med,low,2,more,big,high,unacc
low,high,3,2,small,high,unacc
med,high,4,2,med,med,acc
med,high,3,2,,high,unacc
med,vhigh,,more,big,high,vgood
,high,3,2,small,med,unacc
high,low,3,more,big,med,unacc
high,med,3,more,big,low,acc
vhigh,med,2,2,small,med,
low,low,2,4,small,med,unacc
,med,5more,4,small,high,unacc
med,low,5more,2,big,high,unacc
low,vhigh,2,2,small,low,unacc
high,,3,,small,med,acc
vhigh,vhigh,4,4,small,high,unacc
med,med,4,4,med,low,unacc
low,high,2,more,med,high,unacc
high,vhigh,4,4,small,high,unacc
low,vhigh,2,more,big,med,unacc
high,vhigh,3,2,med,low,unacc
vhigh,low,3,4,big,low,acc
med,med,3,more,big,med,unacc
vhigh,high,2,more,small,low,acc
med,low,4,2,small,high,acc
med,med,3,2,med,low,unacc
low,vhigh,2,4,small,low,unacc
high,low,2,4,med,med,
vhigh,high,4,more,big,high,unacc
vhigh,vhigh,3,4,big,high,unacc
vhigh,low,2,2,small,med,unacc
low,vhigh,2,4,big,low,unacc
low,med,2,4,big,low,unacc
low,med,4,2,big,med,unacc
med,high,2,2,big,low,unacc
vhigh,med,3,2,small,high,unacc
med,med,5more,more,big,high,unacc
vhigh,med,4,4,med,low,acc
vhigh,vhigh,4,4,small,high,unacc
high,vhigh,4,2,small,med,unacc
vhigh,med,3,more,med,high,unacc
low,vhigh,,more,small,med,unacc
NaN,med,5more,4,med,high,acc
low,high,2,4,small,,unacc
high,low,4,4,small,high,unacc
high,low,2,4,big,low,unacc
med,med,4,more,small,med,acc
vhigh,high,5more,4,small,high,unacc
vhigh,med,5more,2,big,low,unacc
NaN,low,3,4,big,high,unacc
low,high,4,more,med,low,acc
low,vhigh,3,2,big,high,unacc
low,low,4,4,med,low,vgood
low,low,2,4,small,,unacc
low,med,4,4,big,med,unacc
vhigh,high,,4,med,high,unacc
high,high,2,2,big,low,unacc
low,vhigh,2,more,med,low,unacc
NaN,high,5more,2,small,high,unacc
low,med,4,more,med,med,acc
med,high,4,4,small,high,acc
null,high,5more,more,small,high,unacc
vhigh,high,2,more,med,low,unacc
high,vhigh,5more,NaN,med,low,unacc
med,vhigh,4,more,big,high,unacc
med,low,4,4,small,med,unacc
high,low,4,2,small,low,unacc
NaN,vhigh,4,4,med,low,unacc
low,high,4,2,big,med,unacc
high,vhigh,2,more,med,high,acc
med,vhigh,4,2,med,high,NaN
high,med,4,more,big,med,unacc
low,high,3,4,med,med,good
med,,2,more,big,high,unacc
vhigh,med,3,2,small,med,acc
med,low,3,more,med,med,acc
med,,2,more,big,med,unacc
low,high,4,more,med,low,unacc
vhigh,low,2,more,small,med,unacc
vhigh,low,2,4,med,med,unacc
vhigh,high,5more,4,med,med,unacc
low,low,5more,4,med,med,unacc
low,low,3,4,med,low,unacc
low,med,2,more,big,low,acc
,low,2,more,big,med,unacc
low,high,5more,4,med,low,unacc
vhigh,low,2,more,big,low,unacc
high,med,2,2,small,low,unacc
null,vhigh,3,4,med,med,unacc
,low,4,4,med,low,unacc
med,high,2,2,NaN,med,unacc
med,vhigh,4,2,big,med,unacc
,low,2,4,small,high,acc
med,high,5more,4,med,high,
high,med,5more,4,small,high,unacc
med,vhigh,3,4,big,low,acc
med,med,2,more,big,high,unacc
,med,5more,4,big,high,unacc
med,,5more,4,big,,acc
low,high,4,4,med,high,unacc
high,high,3,2,big,low,good
high,med,5more,,,med,unacc
vhigh,med,4,more,small,high,unacc
vhigh,high,4,more,med,low,NaN
high,low,5more,more,med,high,unacc
high,vhigh,4,more,med,low,unacc
null,high,5more,,big,low,acc
low,low,2,,small,med,
med,high,4,2,big,high,acc
med,high,2,2,big,med,unacc
med,vhigh,2,4,small,high,unacc
high,high,4,4,small,low,unacc
low,low,3,more,med,high,acc
vhigh,high,3,2,med,med,acc
low,vhigh,2,more,med,med,unacc
low,high,2,more,big,med,unacc
med,med,3,2,big,low,unacc
vhigh,vhigh,4,4,med,med,unacc
low,high,3,2,NaN,med,unacc
vhigh,med,3,4,med,med,unacc
high,med,5more,more,small,low,acc
med,vhigh,3,4,small,low,acc
vhigh,vhigh,5more,4,small,high,acc
high,high,2,,med,high,unacc
high,low,3,4,big,low,good
high,vhigh,5more,2,med,low,acc
low,high,4,more,small,med,good
low,med,4,4,med,med,acc
med,med,3,2,big,high,acc
med,high,,4,,low,unacc
high,vhigh,5more,2,small,med,unacc
med,high,2,2,big,med,acc
low,high,4,4,med,high,
med,,2,4,small,,unacc
vhigh,low,4,more,big,high,acc
low,low,5more,more,med,high,unacc
high,low,2,4,small,med,unacc
high,high,5more,4,,med,unacc
med,vhigh,3,2,big,med,acc
low,low,4,4,small,high,unacc
high,vhigh,4,more,small,low,unacc
high,low,4,2,,,unacc
low,med,4,more,big,low,unacc
low,med,2,4,small,high,
high,vhigh,4,more,small,high,unacc
med,low,4,4,big,low,unacc
med,vhigh,4,more,big,med,acc
med,vhigh,2,4,big,med,unacc
vhigh,vhigh,4,2,big,high,acc
low,high,2,2,,high,unacc
high,low,3,2,big,med,unacc
vhigh,low,4,more,big,low,acc
med,vhigh,3,2,med,high,
vhigh,med,5more,more,small,high,unacc
high,vhigh,4,more,big,low,unacc
high,med,3,more,med,high,unacc
low,low,4,more,small,med,good
med,low,3,2,big,,vgood
,vhigh,2,4,,med,unacc
vhigh,high,4,2,big,low,acc
med,low,4,more,small,,unacc
vhigh,low,4,4,big,low,unacc
high,low,4,more,med,high,unacc
high,high,5more,2,big,high,unacc
high,low,2,more,small,med,unacc
high,vhigh,3,more,med,high,
high,med,4,NaN,big,high,unacc
vhigh,null,3,more,big,med,good
high,low,3,4,big,med,acc
vhigh,high,4,more,big,med,acc
high,med,2,2,big,high,acc
,med,4,4,big,med,unacc
vhigh,high,5more,more,small,high,unacc
vhigh,vhigh,4,2,med,high,acc
med,low,5more,4,big,med,acc
vhigh,med,4,2,big,high,vgood
vhigh,med,4,4,med,low,unacc
high,vhigh,5more,2,med,low,unacc
vhigh,,3,4,med,high,unacc
vhigh,low,2,NaN,small,med,unacc
low,high,3,more,small,high,unacc
med,high,3,2,,med,unacc
low,vhigh,5more,more,med,med,unacc
high,vhigh,5more,more,small,med,unacc
med,med,5more,more,med,med,unacc
med,vhigh,3,more,med,med,unacc
low,med,5more,2,big,med,unacc
med,high,4,4,small,high,unacc
low,high,2,4,med,,unacc
vhigh,med,3,2,small,med,unacc
low,low,5more,4,big,med,vgood
med,high,3,4,small,high,acc
med,low,4,more,big,high,unacc
high,med,2,more,med,low,unacc
high,low,5more,2,big,med,acc
high,med,5more,4,small,,unacc
high,med,5more,2,med,low,unacc
med,vhigh,4,2,med,low,unacc
high,high,,4,small,med,acc
low,high,3,4,big,low,unacc
vhigh,med,5more,more,med,low,unacc
med,low,5more,4,med,high,unacc
high,vhigh,5more,4,small,med,good
med,low,3,2,NaN,med,vgood
high,high,5more,4,big,high,unacc
med,low,4,4,small,low,unacc
high,vhigh,2,4,med,low,vgood
vhigh,low,2,2,med,high,unacc
high,high,,more,med,low,good
low,med,4,4,small,NaN,unacc
med,high,4,more,med,low,
med,vhigh,3,more,big,med,acc
low,med,2,2,med,low,unacc
low,vhigh,5more,2,big,low,good
,high,5more,more,small,med,unacc
med,low,2,2,med,med,acc
vhigh,high,2,more,small,high,acc
med,low,,4,med,high,unacc
med,med,2,2,small,low,acc
vhigh,low,,4,,low,
med,low,4,4,small,high,unacc
med,med,2,2,big,high,unacc
vhigh,NaN,4,4,small,low,unacc
high,med,4,more,big,low,unacc
vhigh,vhigh,5more,more,small,med,unacc
med,med,4,4,med,med,unacc
low,low,2,more,small,NaN,unacc
high,high,4,4,big,med,
low,low,2,4,med,low,acc
high,vhigh,3,2,big,med,acc
low,high,2,4,small,high,unacc
high,low,5more,more,small,med,unacc
vhigh,low,4,2,small,low,unacc
high,high,4,more,med,med,unacc
high,low,3,more,med,med,unacc
high,vhigh,3,more,big,med,acc
med,med,null,more,med,high,unacc
low,vhigh,2,2,small,low,acc
vhigh,low,2,2,med,low,unacc
low,high,5more,2,small,low,acc
low,high,3,more,big,,acc
vhigh,high,2,2,med,low,acc
med,low,3,more,med,high,unacc
high,high,3,more,med,high,acc
,vhigh,4,more,med,low,unacc
med,vhigh,3,2,small,low,unacc
high,low,3,more,small,med,unacc
low,vhigh,3,4,med,,acc
high,vhigh,5more,more,big,med,good
vhigh,high,2,4,med,low,unacc
high,med,3,more,small,low,
low,vhigh,5more,more,big,high,unacc
med,low,3,2,med,med,unacc
med,high,3,2,big,high,acc
high,vhigh,4,4,big,high,unacc
vhigh,low,2,more,med,high,unacc
low,low,5more,2,small,low,acc
med,high,2,more,small,high,acc
high,low,3,more,big,high,acc
vhigh,med,2,2,small,high,unacc
vhigh,med,2,2,med,med,unacc
null,vhigh,5more,4,med,med,unacc
med,med,4,,med,high,unacc
low,high,4,more,big,high,unacc
vhigh,high,2,more,small,low,unacc
low,vhigh,4,4,small,low,vgood
vhigh,med,5more,4,null,high,unacc
vhigh,low,2,4,small,high,unacc
,low,3,more,big,high,acc
med,med,2,more,big,low,unacc
vhigh,high,4,4,med,high,unacc
low,high,,2,small,high,unacc
med,high,4,4,med,high,unacc
low,high,3,4,big,high,unacc
med,med,5more,more,small,high,unacc
med,vhigh,2,4,NaN,high,unacc
vhigh,med,3,,med,med,unacc
high,med,2,4,big,high,unacc
vhigh,high,4,4,med,high,unacc
med,high,4,more,big,med,unacc
vhigh,high,2,2,med,low,acc
vhigh,vhigh,2,more,med,high,unacc
med,vhigh,5more,more,small,low,acc
med,high,2,4,big,low,good
vhigh,high,2,2,small,med,acc
vhigh,med,4,4,small,med,unacc
vhigh,med,2,more,small,med,acc
low,med,2,4,med,low,unacc
null,high,5more,,med,low,unacc
low,,5more,2,small,med,good
high,low,4,more,med,low,acc
low,vhigh,5more,2,null,high,acc
vhigh,med,4,more,,med,acc
high,vhigh,4,more,big,low,acc
low,med,4,more,,low,acc
low,vhigh,2,more,big,med,unacc
med,high,3,more,med,low,unacc
high,low,null,2,big,high,unacc
med,vhigh,2,2,big,med,acc
high,med,5more,2,big,med,unacc
low,high,5more,2,big,high,unacc
med,low,3,2,small,med,unacc
vhigh,high,5more,2,med,low,unacc
low,high,2,more,big,med,acc
high,vhigh,5more,2,med,low,unacc
,low,3,2,big,med,acc
med,high,4,4,small,low,unacc
med,med,5more,2,big,low,acc
high,high,2,2,small,low,unacc
NaN,med,4,2,small,med,unacc
,high,2,4,med,med,acc
vhigh,low,3,2,big,med,unacc
high,low,4,more,big,low,NaN
vhigh,low,4,2,small,med,unacc
high,vhigh,null,4,big,high,unacc
vhigh,high,null,more,small,high,unacc
low,low,2,more,big,low,unacc
high,med,3,2,small,low,unacc
low,med,5more,more,small,low,unacc
med,,5more,2,med,high,unacc
high,low,3,2,med,high,unacc
low,vhigh,2,2,big,med,
vhigh,low,5more,,med,,unacc
low,high,4,more,med,med,acc
high,vhigh,2,4,big,high,unacc
low,med,4,4,big,low,unacc
vhigh,low,NaN,2,med,high,
,low,2,4,small,high,good
vhigh,med,2,4,small,low,unacc
med,high,5more,2,small,med,acc
high,vhigh,5more,,small,high,unacc
vhigh,med,5more,4,big,low,unacc
med,vhigh,2,2,small,low,unacc
,high,5more,more,,med,acc
low,vhigh,3,2,big,high,unacc
high,vhigh,3,4,med,low,good
low,low,3,more,big,med,
med,med,3,more,med,high,acc
low,vhigh,2,,small,med,unacc
low,vhigh,4,2,big,high,unacc
vhigh,med,4,4,small,high,unacc
low,med,4,more,NaN,med,unacc
vhigh,high,2,more,big,med,unacc
vhigh,med,4,null,med,med,acc
high,vhigh,3,4,null,low,unacc
med,low,2,more,big,high,unacc
med,high,4,4,med,high,unacc
med,med,2,more,small,low,acc
vhigh,med,4,more,null,low,unacc
med,med,2,4,big,low,unacc
vhigh,high,5more,more,big,high,unacc
high,null,3,4,big,high,acc
med,med,5more,4,small,med,acc
vhigh,high,4,4,big,low,unacc
med,low,2,4,small,high,
med,vhigh,5more,2,big,low,unacc
high,low,,4,small,med,unacc
low,vhigh,3,2,big,high,unacc
med,high,5more,NaN,med,med,acc
high,med,3,4,small,high,good
med,high,3,more,med,low,acc
med,low,,2,small,null,unacc
med,low,5more,more,small,low,acc
med,high,5more,more,big,med,null
low,med,2,2,small,low,unacc
low,med,5more,more,small,high,unacc
med,vhigh,3,2,small,low,acc
med,low,2,more,med,high,unacc
high,vhigh,,null,big,med,unacc
high,high,5more,2,small,high,unacc
vhigh,vhigh,3,4,big,low,unacc
low,med,4,more,big,low,unacc
,low,5more,4,big,low,unacc
low,med,3,2,big,low,acc
high,vhigh,,4,big,low,acc
low,high,5more,4,med,high,acc
low,vhigh,5more,4,small,med,unacc
med,med,2,4,small,low,unacc
med,low,4,4,med,high,unacc
high,vhigh,2,more,med,,unacc
med,low,2,2,small,low,unacc
high,,3,2,small,low,unacc
high,vhigh,,2,big,high,unacc
vhigh,med,3,more,small,low,acc
vhigh,high,5more,4,big,high,unacc
vhigh,med,2,more,med,high,unacc
low,vhigh,3,2,big,med,unacc
vhigh,low,3,4,big,high,unacc
med,med,5more,more,small,high,unacc
med,high,4,,med,high,unacc
,low,2,2,med,low,unacc
low,high,2,4,med,med,unacc
high,low,NaN,more,med,high,unacc
low,high,4,4,med,low,unacc
low,high,3,4,small,high,unacc
high,vhigh,null,more,small,high,unacc
high,vhigh,5more,more,big,med,acc
high,,5more,2,null,med,unacc
med,vhigh,4,more,big,med,acc
high,vhigh,4,,small,low,unacc
high,high,2,4,small,high,unacc
low,low,3,NaN,big,low,unacc
low,high,3,more,med,low,acc
vhigh,vhigh,2,2,big,high,unacc
low,vhigh,3,more,small,high,unacc
high,med,4,2,med,med,unacc
med,high,5more,more,med,high,acc
low,vhigh,4,4,big,med,unacc
low,low,2,,big,low,unacc
high,low,2,null,small,high,unacc
low,vhigh,,more,med,high,acc
low,vhigh,5more,more,big,low,unacc
high,vhigh,2,4,small,high,unacc
low,low,5more,2,small,high,unacc
med,vhigh,4,more,med,low,unacc
vhigh,high,5more,2,small,low,unacc
low,med,5more,more,small,med,unacc
med,med,5more,more,small,med,unacc
low,med,2,2,small,med,unacc
vhigh,high,3,4,med,med,unacc
high,vhigh,5more,2,small,med,vgood
vhigh,med,5more,more,med,high,acc
low,low,5more,more,big,high,unacc
vhigh,vhigh,3,2,small,high,good
vhigh,low,2,2,big,med,unacc
high,med,2,more,small,low,unacc
low,high,3,null,big,high,unacc
vhigh,med,2,2,med,med,vgood
,med,2,2,small,high,unacc
,vhigh,3,4,small,high,unacc
med,,5more,4,med,low,unacc
low,med,3,2,big,high,unacc
med,high,4,more,big,low,unacc
med,low,3,more,med,high,unacc
high,low,4,2,,high,vgood
high,high,5more,2,big,low,unacc
low,vhigh,5more,4,small,med,unacc
med,med,5more,2,small,low,good
vhigh,med,5more,4,big,high,NaN
med,med,2,4,small,high,acc
high,low,4,2,small,med,unacc
vhigh,high,4,more,big,low,unacc
vhigh,high,2,4,small,med,unacc
high,med,3,2,med,low,unacc
vhigh,med,2,2,small,high,acc
,high,4,more,big,med,acc
high,low,3,4,,high,acc
low,vhigh,3,4,big,high,unacc
high,med,4,2,med,high,good
low,high,4,4,small,med,acc
low,low,4,4,small,high,acc
high,vhigh,2,2,small,med,unacc
high,high,,4,small,,unacc
low,med,3,more,small,high,unacc
low,high,4,4,med,high,acc
vhigh,low,3,more,small,high,unacc
high,med,3,more,big,,unacc
high,high,2,4,big,low,unacc
vhigh,high,3,4,big,high,unacc
high,med,2,more,small,low,unacc
vhigh,med,5more,more,big,low,unacc
vhigh,low,3,2,big,low,
high,med,3,2,big,high,unacc
med,low,4,more,small,high,unacc
low,high,3,2,med,med,unacc
high,med,,4,NaN,low,unacc
med,low,4,more,small,high,unacc
vhigh,high,5more,2,small,high,unacc
med,vhigh,4,2,big,,unacc
high,high,2,more,med,low,unacc
high,med,5more,4,small,med,unacc
med,low,5more,4,med,null,unacc
high,vhigh,5more,4,big,med,unacc
low,low,4,4,big,low,acc
med,low,2,null,small,high,unacc
vhigh,vhigh,2,,small,low,acc
med,vhigh,2,2,big,high,unacc
med,low,4,2,med,med,acc
med,med,,2,big,med,good
med,vhigh,2,4,small,med,unacc
vhigh,med,4,2,small,low,unacc
vhigh,vhigh,4,more,med,high,unacc
,low,3,4,big,high,unacc
med,vhigh,3,4,small,low,
low,NaN,,2,med,null,unacc
low,vhigh,5more,more,med,,unacc
vhigh,vhigh,4,4,big,med,acc
low,vhigh,5more,2,small,,unacc
low,high,2,4,med,high,acc
low,vhigh,5more,,small,med,unacc
low,high,4,more,small,,acc
low,med,5more,2,small,low,acc
high,med,5more,2,med,med,acc
vhigh,vhigh,3,4,med,high,unacc
med,med,2,more,small,low,acc
low,vhigh,2,2,med,med,unacc
,high,,2,med,high,unacc
med,med,2,more,big,low,acc
high,low,3,2,big,med,unacc
low,vhigh,4,,small,high,acc
low,vhigh,4,,med,high,unacc
low,null,3,4,small,low,acc
low,med,4,more,med,med,unacc
med,med,,4,med,null,unacc
,vhigh,3,4,big,high,unacc
high,low,2,4,,low,unacc
vhigh,vhigh,3,4,med,high,vgood
low,vhigh,3,4,big,high,
high,high,4,2,big,med,unacc
high,vhigh,5more,2,small,med,unacc
high,vhigh,5more,more,small,low,unacc
low,vhigh,3,,med,med,acc
low,low,2,2,big,high,acc
high,med,4,4,med,high,unacc
low,vhigh,5more,4,big,med,unacc
high,high,5more,4,med,low,good
med,high,3,4,med,med,acc
low,med,2,2,small,med,unacc
med,high,2,4,big,high,unacc
vhigh,high,3,2,med,high,unacc
NaN,low,2,2,small,med,unacc
vhigh,vhigh,2,more,small,med,acc
high,vhigh,2,more,small,high,unacc
low,vhigh,5more,2,small,high,unacc
low,vhigh,4,2,big,med,acc
low,vhigh,5more,4,small,low,unacc
vhigh,high,4,4,small,high,unacc
vhigh,low,5more,more,big,high,unacc
high,vhigh,2,4,big,low,unacc
med,high,3,2,small,high,good
med,med,4,2,small,med,unacc
vhigh,high,3,2,med,high,unacc
low,low,5more,2,NaN,high,unacc
med,vhigh,5more,more,small,med,acc
med,vhigh,4,4,med,high,unacc
vhigh,vhigh,3,4,NaN,high,vgood
high,low,2,4,med,high,unacc
vhigh,med,2,2,small,med,unacc
vhigh,med,2,,big,high,unacc
low,high,5more,more,small,med,unacc
vhigh,high,5more,2,big,med,unacc
low,,5more,null,big,high,acc
high,vhigh,2,null,med,low,unacc
low,vhigh,4,,big,low,unacc
high,high,5more,4,small,high,acc
high,vhigh,4,4,big,high,acc
high,high,NaN,more,small,low,
vhigh,high,2,more,small,low,unacc
low,low,5more,2,small,med,acc
med,vhigh,4,2,big,low,unacc
vhigh,vhigh,2,4,med,med,unacc
high,high,3,2,med,high,unacc
med,high,5more,2,small,high,unacc
vhigh,high,2,2,med,low,unacc
med,low,,2,small,low,unacc
high,low,,4,small,med,unacc
,high,2,2,big,low,acc
med,low,3,4,med,low,unacc
high,low,5more,more,small,high,acc
med,med,,2,big,high,NaN
vhigh,vhigh,4,2,big,low,unacc
med,high,5more,4,big,high,acc
low,med,3,2,big,med,acc
vhigh,med,4,4,med,high,unacc
med,low,4,4,med,low,unacc
low,,2,more,med,low,unacc
null,low,2,,big,high,acc
low,med,4,more,,med,acc
med,med,,2,med,high,acc
high,med,3,2,med,high,unacc
low,vhigh,3,more,small,high,acc
high,high,3,4,med,high,unacc
vhigh,vhigh,4,4,small,med,unacc
high,med,2,4,med,null,unacc
high,med,3,more,med,med,unacc
high,med,3,4,small,high,unacc
high,vhigh,3,more,small,low,good
high,low,5more,more,med,med,unacc
vhigh,high,4,more,med,high,vgood
vhigh,low,3,more,med,med,unacc
high,low,2,2,med,high,acc
high,med,3,2,,high,unacc
low,vhigh,5more,more,big,high,acc
vhigh,low,4,2,med,low,good
med,vhigh,2,2,small,med,acc
vhigh,vhigh,5more,4,med,med,acc
med,vhigh,2,more,big,high,unacc
low,high,2,2,big,med,good
high,low,2,more,med,med,unacc
low,med,4,2,big,med,acc
high,med,4,2,small,high,acc
vhigh,high,3,4,med,med,acc
high,low,2,more,med,low,unacc
med,med,4,,big,med,unacc
med,vhigh,2,2,big,high,null
low,med,2,more,med,med,acc
vhigh,low,5more,2,med,low,unacc
med,vhigh,2,more,med,low,unacc
low,high,2,4,big,low,unacc
vhigh,med,5more,2,,med,unacc
vhigh,med,4,more,small,low,acc
null,null,4,2,big,low,vgood
med,low,5more,2,big,low,unacc
med,vhigh,3,4,small,high,unacc
low,med,2,more,big,med,unacc
med,low,3,2,med,med,unacc
low,,4,4,NaN,high,vgood
med,med,2,more,big,med,unacc
med,low,5more,2,small,low,good
low,low,3,more,big,low,unacc
low,high,4,4,NaN,med,acc
med,med,4,more,big,high,unacc
low,vhigh,3,4,med,high,unacc
med,med,3,4,med,med,acc
high,high,3,more,med,high,unacc
vhigh,vhigh,5more,more,med,high,acc
vhigh,low,3,4,big,high,acc
med,,4,2,small,high,unacc
vhigh,vhigh,2,more,med,high,unacc
med,vhigh,2,4,big,high,unacc
low,med,5more,more,small,,unacc
high,low,3,4,small,high,unacc
vhigh,high,2,4,small,low,acc
vhigh,low,4,more,null,high,unacc
low,high,3,4,small,med,acc
high,med,3,2,big,med,unacc
high,vhigh,2,4,small,high,acc
NaN,med,5more,null,med,high,good
,high,4,4,small,high,unacc
vhigh,low,2,2,med,med,unacc
vhigh,NaN,,more,big,med,unacc
high,high,5more,more,big,low,unacc
low,vhigh,3,2,small,high,unacc
low,vhigh,5more,2,med,low,unacc
low,med,5more,more,big,low,unacc
high,high,5more,4,med,high,unacc
low,low,2,2,med,med,unacc
high,NaN,4,more,small,med,good
high,med,2,4,small,high,
high,med,5more,more,med,low,unacc
med,high,5more,more,small,low,unacc
high,high,5more,2,small,high,unacc
low,vhigh,3,more,big,low,unacc
med,vhigh,3,,med,low,unacc
vhigh,vhigh,3,more,big,med,unacc
vhigh,vhigh,4,4,big,low,unacc
low,med,2,more,med,high,unacc
low,low,2,4,med,low,acc
low,vhigh,null,more,big,med,unacc
low,high,NaN,more,med,high,unacc
med,vhigh,2,4,small,med,unacc
low,,5more,more,small,med,acc
high,low,4,4,big,med,unacc
vhigh,med,3,4,big,med,good
low,low,5more,4,med,low,unacc
,low,2,,big,low,acc
low,med,2,4,small,med,unacc
high,high,2,2,,high,acc
med,low,4,4,big,med,unacc
vhigh,med,2,4,med,low,
vhigh,high,,more,small,med,unacc
med,high,5more,4,med,high,
high,high,3,2,med,low,unacc
low,med,4,2,small,med,null
high,vhigh,5more,2,med,low,unacc
vhigh,med,5more,4,big,low,unacc
med,low,2,2,big,med,unacc
med,med,3,4,null,med,acc
high,med,5more,4,small,med,unacc
high,low,4,more,small,med,acc
med,med,3,2,big,med,unacc
vhigh,med,2,more,big,med,unacc
low,NaN,null,more,big,high,acc
low,vhigh,5more,2,med,low,
high,vhigh,3,more,big,high,unacc
med,high,2,2,med,med,unacc
null,vhigh,5more,4,big,high,unacc
med,med,2,4,null,,unacc
vhigh,low,4,4,small,low,unacc
high,high,5more,2,med,high,unacc
high,med,2,2,big,low,
high,NaN,5more,2,med,med,acc
vhigh,low,4,4,small,high,unacc
high,med,2,more,small,high,unacc
low,high,2,more,big,high,unacc
high,high,3,4,med,med,unacc
high,vhigh,4,more,med,low,unacc
high,high,4,more,small,med,acc
vhigh,vhigh,3,,med,low,unacc
null,vhigh,3,2,small,med,acc
low,low,2,more,small,low,vgood
med,vhigh,3,4,small,low,acc
med,high,3,2,med,high,acc
low,vhigh,3,more,big,med,acc
high,vhigh,2,more,med,low,acc
high,high,4,4,small,,unacc
high,low,2,2,big,high,unacc
vhigh,low,5more,2,med,med,null
,high,2,4,small,med,acc
vhigh,med,5more,4,med,low,unacc
low,med,NaN,2,big,med,unacc
high,high,3,4,small,low,good
high,vhigh,2,4,big,med,
med,high,3,more,small,high,unacc
low,high,2,4,small,high,unacc
high,med,3,2,med,med,unacc
vhigh,med,3,2,med,high,unacc
low,high,4,4,med,low,unacc
med,vhigh,4,more,big,high,unacc
low,low,4,more,med,high,unacc
vhigh,high,2,4,big,med,unacc
med,high,2,more,small,high,
vhigh,low,4,2,med,NaN,unacc
low,med,4,2,small,high,vgood
med,vhigh,3,more,med,high,unacc
vhigh,med,4,2,,med,unacc
,low,3,more,big,high,unacc
vhigh,low,3,2,big,low,acc
high,low,2,4,small,med,unacc
low,low,2,more,small,high,unacc
med,NaN,NaN,more,big,med,unacc
med,high,2,more,med,low,unacc
high,high,2,more,med,med,unacc
vhigh,low,2,4,small,med,acc
vhigh,vhigh,2,4,med,low,unacc
med,low,,2,small,low,unacc
NaN,vhigh,4,2,big,low,unacc
low,high,2,2,big,med,
low,vhigh,4,,small,med,unacc
,high,4,2,med,high,acc
low,vhigh,5more,2,med,high,unacc
med,med,2,more,small,low,unacc
vhigh,vhigh,3,more,med,low,unacc
vhigh,low,4,2,big,med,
